Title,Link
পটুয়াখালীতে ১৫ হাজার মানুষ করোনা টিকার দ্বিতীয় ডোজ নিয়ে অনিশ্চয়তায়,https://jamuna.tv/news/220576
করোনা সচেতনতায় গুগলের ডুডল,https://jamuna.tv/news/215580
করোনা সচেতনতায় গুগলের ডুডল,https://jamuna.tv/news/217424
যেসব কারণে করোনা থেকে সেরে ওঠে খিচুড়ি খাবেন,https://jamuna.tv/news/225078
করোনা দুর্যোগ: ভারতীয় মিডিয়া বনাম বাংলাদেশি মিডিয়া,https://jamuna.tv/news/217120
কেনো আমি করোনা ভ্যাকসিন নিবো?,https://jamuna.tv/news/200249
রাজশাহী মেডিকেল কলেজ হাসপাতালের কোভিড ইউনিটে এক দিনে আরও ১৩ জনের মৃত্যু,https://bangla.bdnews24.com/samagrabangladesh/article1901158.bdnews
রাজশাহী মেডিকেলে একদিনে আরও ১৩ মৃত্যু,https://bangla.bdnews24.com/samagrabangladesh/article1901158.bdnews
রাজশাহী মেডিকেলে একদিনে আরও ১৩ মৃত্যু,https://bangla.bdnews24.com/samagrabangladesh/article1901158.bdnews
রাজশাহী মেডিকেলে একদিনে আরও ১৩ মৃত্যু,https://bangla.bdnews24.com/samagrabangladesh/article1901158.bdnews
"করোনা মহামারি
                 
                 ২৬৯১ বাংলাদেশির মৃত্যু ২৩ দেশে",https://www.prothomalo.com/bangladesh/coronavirus/২৬৯১-বাংলাদেশির-মৃত্যু-২৩-দেশে
ভারতে করোনা শনাক্তের হার কমে ৪.২৫%,https://www.prothomalo.com/world/india/ভারতে-করোনা-শনাক্তের-হার-কমে-৪২৫
